,Site,Parameter,Date_LT,Year,Month,Day,Hour,NowCast_Conc,AQI,AQI_Category,Raw_Conc,Conc_Unit,Duration,QC_Name
146,Ulaanbaatar,PM2.5 - Principal,2018-07-01 03:00:00,2018,1,7,3,149.3,199.0,Unhealthy,109.0,UG/M3,1 Hr,Valid
147,Ulaanbaatar,PM2.5 - Principal,2018-07-01 04:00:00,2018,1,7,4,144.1,197.0,Unhealthy,139.0,UG/M3,1 Hr,Valid
148,Ulaanbaatar,PM2.5 - Principal,2018-07-01 05:00:00,2018,1,7,5,126.1,187.0,Unhealthy,108.0,UG/M3,1 Hr,Valid
152,Ulaanbaatar,PM2.5 - Principal,2018-07-01 09:00:00,2018,1,7,9,144.6,197.0,Unhealthy,144.0,UG/M3,1 Hr,Valid
153,Ulaanbaatar,PM2.5 - Principal,2018-07-01 10:00:00,2018,1,7,10,134.3,192.0,Unhealthy,124.0,UG/M3,1 Hr,Valid
154,Ulaanbaatar,PM2.5 - Principal,2018-07-01 11:00:00,2018,1,7,11,125.6,187.0,Unhealthy,117.0,UG/M3,1 Hr,Valid
159,Ulaanbaatar,PM2.5 - Principal,2018-07-01 16:00:00,2018,1,7,16,100.5,174.0,Unhealthy,79.0,UG/M3,1 Hr,Valid
160,Ulaanbaatar,PM2.5 - Principal,2018-07-01 17:00:00,2018,1,7,17,61.7,154.0,Unhealthy,23.0,UG/M3,1 Hr,Valid
161,Ulaanbaatar,PM2.5 - Principal,2018-07-01 18:00:00,2018,1,7,18,44.3,123.0,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
162,Ulaanbaatar,PM2.5 - Principal,2018-07-01 19:00:00,2018,1,7,19,40.1,112.0,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
163,Ulaanbaatar,PM2.5 - Principal,2018-07-01 20:00:00,2018,1,7,20,34.5,98.0,Moderate,29.0,UG/M3,1 Hr,Valid
164,Ulaanbaatar,PM2.5 - Principal,2018-07-01 21:00:00,2018,1,7,21,27.7,84.0,Moderate,21.0,UG/M3,1 Hr,Valid
167,Ulaanbaatar,PM2.5 - Principal,2018-08-01 00:00:00,2018,1,8,0,25.8,80.0,Moderate,31.0,UG/M3,1 Hr,Valid
178,Ulaanbaatar,PM2.5 - Principal,2018-08-01 11:00:00,2018,1,8,11,88.8,168.0,Unhealthy,0.0,UG/M3,1 Hr,Invalid
179,Ulaanbaatar,PM2.5 - Principal,2018-08-01 12:00:00,2018,1,8,12,48.32179800839755,133.0,Unhealthy for Sensitive Groups,0.0,UG/M3,1 Hr,Invalid
181,Ulaanbaatar,PM2.5 - Principal,2018-08-01 14:00:00,2018,1,8,14,61.9,154.0,Unhealthy,29.0,UG/M3,1 Hr,Valid
183,Ulaanbaatar,PM2.5 - Principal,2018-08-01 16:00:00,2018,1,8,16,21.5,71.0,Moderate,6.0,UG/M3,1 Hr,Valid
184,Ulaanbaatar,PM2.5 - Principal,2018-08-01 17:00:00,2018,1,8,17,19.2,66.0,Moderate,17.0,UG/M3,1 Hr,Valid
185,Ulaanbaatar,PM2.5 - Principal,2018-08-01 18:00:00,2018,1,8,18,17.5,62.0,Moderate,16.0,UG/M3,1 Hr,Valid
186,Ulaanbaatar,PM2.5 - Principal,2018-08-01 19:00:00,2018,1,8,19,24.2,76.0,Moderate,31.0,UG/M3,1 Hr,Valid
187,Ulaanbaatar,PM2.5 - Principal,2018-08-01 20:00:00,2018,1,8,20,29.1,87.0,Moderate,34.0,UG/M3,1 Hr,Valid
188,Ulaanbaatar,PM2.5 - Principal,2018-08-01 21:00:00,2018,1,8,21,31.5,92.0,Moderate,34.0,UG/M3,1 Hr,Valid
189,Ulaanbaatar,PM2.5 - Principal,2018-08-01 22:00:00,2018,1,8,22,28.2,85.0,Moderate,25.0,UG/M3,1 Hr,Valid
190,Ulaanbaatar,PM2.5 - Principal,2018-08-01 23:00:00,2018,1,8,23,27.1,83.0,Moderate,26.0,UG/M3,1 Hr,Valid
193,Ulaanbaatar,PM2.5 - Principal,2018-09-01 02:00:00,2018,1,9,2,46.8,129.0,Unhealthy for Sensitive Groups,62.0,UG/M3,1 Hr,Valid
201,Ulaanbaatar,PM2.5 - Principal,2018-09-01 10:00:00,2018,1,9,10,37.2,105.0,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
202,Ulaanbaatar,PM2.5 - Principal,2018-09-01 11:00:00,2018,1,9,11,28.1,85.0,Moderate,19.0,UG/M3,1 Hr,Valid
205,Ulaanbaatar,PM2.5 - Principal,2018-09-01 14:00:00,2018,1,9,14,24.8,78.0,Moderate,25.0,UG/M3,1 Hr,Valid
206,Ulaanbaatar,PM2.5 - Principal,2018-09-01 15:00:00,2018,1,9,15,19.4,66.0,Moderate,14.0,UG/M3,1 Hr,Valid
207,Ulaanbaatar,PM2.5 - Principal,2018-09-01 16:00:00,2018,1,9,16,15.2,58.0,Moderate,11.0,UG/M3,1 Hr,Valid
208,Ulaanbaatar,PM2.5 - Principal,2018-09-01 17:00:00,2018,1,9,17,14.6,56.0,Moderate,14.0,UG/M3,1 Hr,Valid
209,Ulaanbaatar,PM2.5 - Principal,2018-09-01 18:00:00,2018,1,9,18,14.3,56.0,Moderate,14.0,UG/M3,1 Hr,Valid
210,Ulaanbaatar,PM2.5 - Principal,2018-09-01 19:00:00,2018,1,9,19,17.1,62.0,Moderate,20.0,UG/M3,1 Hr,Valid
214,Ulaanbaatar,PM2.5 - Principal,2018-09-01 23:00:00,2018,1,9,23,50.3,137.0,Unhealthy for Sensitive Groups,79.0,UG/M3,1 Hr,Valid
215,Ulaanbaatar,PM2.5 - Principal,2018-10-01 00:00:00,2018,1,10,0,45.6,126.0,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
216,Ulaanbaatar,PM2.5 - Principal,2018-10-01 01:00:00,2018,1,10,1,107.8,178.0,Unhealthy,170.0,UG/M3,1 Hr,Valid
217,Ulaanbaatar,PM2.5 - Principal,2018-10-01 02:00:00,2018,1,10,2,203.9,254.0,Very Unhealthy,300.0,UG/M3,1 Hr,Valid
222,Ulaanbaatar,PM2.5 - Principal,2018-10-01 07:00:00,2018,1,10,7,85.2,166.0,Unhealthy,38.0,UG/M3,1 Hr,Valid
223,Ulaanbaatar,PM2.5 - Principal,2018-10-01 08:00:00,2018,1,10,8,77.4,162.0,Unhealthy,70.0,UG/M3,1 Hr,Valid
224,Ulaanbaatar,PM2.5 - Principal,2018-10-01 09:00:00,2018,1,10,9,109.2,179.0,Unhealthy,140.0,UG/M3,1 Hr,Valid
225,Ulaanbaatar,PM2.5 - Principal,2018-10-01 10:00:00,2018,1,10,10,168.5,219.0,Very Unhealthy,227.0,UG/M3,1 Hr,Valid
226,Ulaanbaatar,PM2.5 - Principal,2018-10-01 11:00:00,2018,1,10,11,168.6,219.0,Very Unhealthy,0.0,UG/M3,1 Hr,Invalid
227,Ulaanbaatar,PM2.5 - Principal,2018-10-01 12:00:00,2018,1,10,12,245.7,295.0,Very Unhealthy,284.0,UG/M3,1 Hr,Valid
228,Ulaanbaatar,PM2.5 - Principal,2018-10-01 13:00:00,2018,1,10,13,130.3,190.0,Unhealthy,44.0,UG/M3,1 Hr,Valid
234,Ulaanbaatar,PM2.5 - Principal,2018-10-01 19:00:00,2018,1,10,19,42.4,118.0,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
240,Ulaanbaatar,PM2.5 - Principal,2018-11-01 01:00:00,2018,1,11,1,235.7,285.0,Very Unhealthy,246.0,UG/M3,1 Hr,Valid
250,Ulaanbaatar,PM2.5 - Principal,2018-11-01 11:00:00,2018,1,11,11,48.32179800839755,133.0,Unhealthy for Sensitive Groups,0.0,UG/M3,1 Hr,Invalid
255,Ulaanbaatar,PM2.5 - Principal,2018-11-01 16:00:00,2018,1,11,16,126.2,188.0,Unhealthy,98.0,UG/M3,1 Hr,Valid
256,Ulaanbaatar,PM2.5 - Principal,2018-11-01 17:00:00,2018,1,11,17,124.0,186.0,Unhealthy,122.0,UG/M3,1 Hr,Valid
257,Ulaanbaatar,PM2.5 - Principal,2018-11-01 18:00:00,2018,1,11,18,188.8,239.0,Very Unhealthy,252.0,UG/M3,1 Hr,Valid
258,Ulaanbaatar,PM2.5 - Principal,2018-11-01 19:00:00,2018,1,11,19,203.5,254.0,Very Unhealthy,218.0,UG/M3,1 Hr,Valid
259,Ulaanbaatar,PM2.5 - Principal,2018-11-01 20:00:00,2018,1,11,20,173.6,224.0,Very Unhealthy,144.0,UG/M3,1 Hr,Valid
261,Ulaanbaatar,PM2.5 - Principal,2018-11-01 22:00:00,2018,1,11,22,173.5,224.0,Very Unhealthy,0.0,UG/M3,1 Hr,Invalid
262,Ulaanbaatar,PM2.5 - Principal,2018-11-01 23:00:00,2018,1,11,23,173.5,224.0,Very Unhealthy,0.0,UG/M3,1 Hr,Invalid
263,Ulaanbaatar,PM2.5 - Principal,2018-12-01 00:00:00,2018,1,12,0,173.5,224.0,Very Unhealthy,0.0,UG/M3,1 Hr,Invalid
265,Ulaanbaatar,PM2.5 - Principal,2018-12-01 02:00:00,2018,1,12,2,48.32179800839755,133.0,Unhealthy for Sensitive Groups,0.0,UG/M3,1 Hr,Invalid
266,Ulaanbaatar,PM2.5 - Principal,2018-12-01 03:00:00,2018,1,12,3,48.32179800839755,133.0,Unhealthy for Sensitive Groups,0.0,UG/M3,1 Hr,Invalid
267,Ulaanbaatar,PM2.5 - Principal,2018-12-01 04:00:00,2018,1,12,4,48.32179800839755,133.0,Unhealthy for Sensitive Groups,478.0,UG/M3,1 Hr,Valid
270,Ulaanbaatar,PM2.5 - Principal,2018-12-01 07:00:00,2018,1,12,7,48.32179800839755,133.0,Unhealthy for Sensitive Groups,0.0,UG/M3,1 Hr,Invalid
277,Ulaanbaatar,PM2.5 - Principal,2018-12-01 14:00:00,2018,1,12,14,30.9,91.0,Moderate,-9.0,UG/M3,1 Hr,Invalid
278,Ulaanbaatar,PM2.5 - Principal,2018-12-01 15:00:00,2018,1,12,15,30.9,91.0,Moderate,-8.0,UG/M3,1 Hr,Invalid
279,Ulaanbaatar,PM2.5 - Principal,2018-12-01 16:00:00,2018,1,12,16,30.9,91.0,Moderate,-10.0,UG/M3,1 Hr,Invalid
280,Ulaanbaatar,PM2.5 - Principal,2018-12-01 17:00:00,2018,1,12,17,30.9,91.0,Moderate,-10.0,UG/M3,1 Hr,Invalid
296,Ulaanbaatar,PM2.5 - Principal,2018-01-13 09:00:00,2018,1,13,9,113.9,181.0,Unhealthy,145.0,UG/M3,1 Hr,Valid
297,Ulaanbaatar,PM2.5 - Principal,2018-01-13 10:00:00,2018,1,13,10,176.9,227.0,Very Unhealthy,238.0,UG/M3,1 Hr,Valid
304,Ulaanbaatar,PM2.5 - Principal,2018-01-13 17:00:00,2018,1,13,17,89.7,169.0,Unhealthy,88.0,UG/M3,1 Hr,Valid
305,Ulaanbaatar,PM2.5 - Principal,2018-01-13 18:00:00,2018,1,13,18,79.3,163.0,Unhealthy,69.0,UG/M3,1 Hr,Valid
306,Ulaanbaatar,PM2.5 - Principal,2018-01-13 19:00:00,2018,1,13,19,63.6,155.0,Unhealthy,48.0,UG/M3,1 Hr,Valid
307,Ulaanbaatar,PM2.5 - Principal,2018-01-13 20:00:00,2018,1,13,20,76.3,162.0,Unhealthy,89.0,UG/M3,1 Hr,Valid
320,Ulaanbaatar,PM2.5 - Principal,2018-01-14 09:00:00,2018,1,14,9,65.3,156.0,Unhealthy,78.0,UG/M3,1 Hr,Valid
321,Ulaanbaatar,PM2.5 - Principal,2018-01-14 10:00:00,2018,1,14,10,80.6,164.0,Unhealthy,96.0,UG/M3,1 Hr,Valid
322,Ulaanbaatar,PM2.5 - Principal,2018-01-14 11:00:00,2018,1,14,11,121.8,185.0,Unhealthy,163.0,UG/M3,1 Hr,Valid
323,Ulaanbaatar,PM2.5 - Principal,2018-01-14 12:00:00,2018,1,14,12,213.4,263.0,Very Unhealthy,305.0,UG/M3,1 Hr,Valid
324,Ulaanbaatar,PM2.5 - Principal,2018-01-14 13:00:00,2018,1,14,13,168.7,219.0,Very Unhealthy,124.0,UG/M3,1 Hr,Valid
326,Ulaanbaatar,PM2.5 - Principal,2018-01-14 15:00:00,2018,1,14,15,78.3,163.0,Unhealthy,48.0,UG/M3,1 Hr,Valid
327,Ulaanbaatar,PM2.5 - Principal,2018-01-14 16:00:00,2018,1,14,16,54.6,148.0,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
328,Ulaanbaatar,PM2.5 - Principal,2018-01-14 17:00:00,2018,1,14,17,39.8,112.0,Unhealthy for Sensitive Groups,25.0,UG/M3,1 Hr,Valid
329,Ulaanbaatar,PM2.5 - Principal,2018-01-14 18:00:00,2018,1,14,18,33.4,96.0,Moderate,27.0,UG/M3,1 Hr,Valid
330,Ulaanbaatar,PM2.5 - Principal,2018-01-14 19:00:00,2018,1,14,19,29.2,87.0,Moderate,25.0,UG/M3,1 Hr,Valid
